iter	Passed	Remaining
496	823	833
497	825	832
498	827	831
499	829	829
500	830	827
501	832	825
502	833	823
503	833	820
504	834	818
505	836	816
506	836	813
507	837	811
508	839	809
509	841	808
510	842	806
511	844	804
512	846	803
513	846	800
514	847	798
515	848	796
516	849	793
517	850	791
518	851	789
519	852	787
520	853	784
521	855	783
522	856	781
523	858	779
524	859	777
525	860	775
526	861	773
527	862	771
528	863	769
529	864	766
530	865	764
531	866	762
532	867	760
533	868	758
534	869	756
535	871	754
536	873	752
537	874	750
538	875	748
539	876	746
540	877	744
541	878	742
542	879	740
543	880	738
544	881	736
545	882	733
546	884	732
547	885	730
548	887	728
549	888	727
550	890	725
551	891	723
552	892	721
553	893	719
554	894	717
555	895	715
556	896	712
557	897	710
558	898	708
559	899	706
560	901	705
561	903	703
562	904	702
563	905	700
564	906	698
565	907	696
566	908	694
567	909	692
568	911	690
569	912	688
570	913	686
571	914	684
572	916	682
573	917	681
574	919	679
575	920	677
576	921	675
577	922	673
578	923	671
579	924	669
580	925	667
581	926	665
582	927	663
583	929	661
584	930	660
585	932	659
586	935	658
587	936	656
588	937	654
589	938	652
590	939	650
591	940	648
592	941	646
593	942	644
594	944	642
595	945	641
596	947	639
597	949	638
598	951	636
599	952	634
600	953	632
601	954	630
602	955	628
603	956	627
604	958	625
605	959	624
606	961	622
607	963	621
608	964	619
609	965	617
610	966	615
611	967	613
612	969	611
613	970	609
614	971	608
615	972	606
616	974	604
617	976	603
618	979	602
619	980	601
620	982	599
621	983	597
622	984	595
623	985	593
624	986	591
625	990	591
626	991	590
627	994	588
628	995	587
629	996	585
630	997	583
631	998	581
632	999	579
633	1001	578
634	1002	576
635	1003	574
636	1004	572
637	1006	571
638	1008	569
639	1009	567
640	1010	565
641	1011	564
642	1013	562
643	1014	560
644	1015	558
645	1016	557
646	1019	556
647	1020	554
648	1022	552
649	1024	551
650	1025	549
651	1026	547
652	1027	545
653	1028	544
654	1029	542
655	1032	541
656	1038	541
657	1039	540
658	1039	538
659	1040	536
660	1042	534
661	1044	533
662	1044	531
663	1045	529
664	1048	528
665	1050	526
666	1052	525
667	1053	523
668	1054	521
669	1056	520
670	1057	518
671	1058	516
672	1059	514
673	1060	512
674	1062	511
675	1064	510
676	1066	508
677	1068	507
678	1069	505
679	1070	503
680	1071	501
681	1072	500
682	1074	498
683	1075	497
684	1077	495
685	1078	493
686	1079	491
687	1081	490
688	1082	488
689	1083	486
690	1084	484
691	1085	483
692	1086	481
693	1087	479
694	1089	478
695	1092	477
696	1095	476
697	1097	474
698	1099	473
699	1100	471
700	1101	469
701	1102	468
702	1103	466
703	1105	464
704	1106	462
705	1109	461
706	1112	460
707	1113	459
708	1114	457
709	1115	455
710	1116	453
711	1118	452
712	1118	450
713	1119	448
714	1121	447
715	1124	446
716	1126	444
717	1127	442
718	1128	441
719	1130	439
720	1131	437
721	1132	436
722	1133	434
723	1135	432
724	1137	431
725	1141	430
726	1144	429
727	1145	428
728	1146	426
729	1148	424
730	1150	423
731	1152	422
732	1155	420
733	1156	419
734	1157	417
735	1158	415
736	1159	413
737	1160	412
738	1161	410
739	1163	408
740	1165	407
741	1167	405
742	1169	404
743	1171	403
744	1173	401
745	1174	399
746	1175	398
747	1176	396
748	1178	394
749	1180	393
750	1185	392
751	1186	391
752	1188	389
753	1189	388
754	1191	386
755	1192	384
756	1194	383
757	1196	382
758	1199	380
759	1201	379
760	1203	377
761	1204	376
762	1205	374
763	1206	372
764	1207	371
765	1209	369
766	1211	368
767	1212	366
768	1214	364
769	1215	363
770	1216	361
771	1218	359
772	1221	358
773	1222	356
774	1225	355
775	1226	354
776	1228	352
777	1229	350
778	1230	349
779	1231	347
780	1233	345
781	1234	344
782	1235	342
783	1236	340
784	1237	339
785	1239	337
786	1241	336
787	1243	334
788	1244	332
789	1245	331
790	1246	329
791	1247	327
792	1248	325
793	1249	324
794	1250	322
795	1251	320
796	1252	318
797	1253	317
798	1256	315
799	1257	314
800	1258	312
801	1260	311
802	1261	309
803	1261	307
804	1262	305
805	1263	304
806	1265	302
807	1265	300
808	1266	299
809	1267	297
810	1270	296
811	1272	294
812	1273	292
813	1274	291
814	1275	289
815	1276	287
816	1276	286
817	1277	284
818	1278	282
819	1279	280
820	1280	279
821	1281	277
822	1282	275
823	1284	274
824	1286	272
825	1288	271
826	1289	269
827	1290	268
828	1291	266
829	1292	264
830	1293	262
831	1294	261
832	1295	259
833	1296	257
834	1297	256
835	1299	254
836	1301	253
837	1302	251
838	1303	250
839	1304	248
840	1305	246
841	1306	245
842	1307	243
843	1308	241
844	1309	240
845	1309	238
846	1310	236
847	1311	235
848	1313	233
849	1315	232
850	1316	230
851	1317	228
852	1318	227
853	1319	225
854	1320	223
855	1321	222
856	1322	220
857	1323	219
858	1324	217
859	1325	215
860	1326	214
861	1328	212
862	1330	211
863	1331	209
864	1332	208
865	1334	206
866	1335	204
867	1336	203
868	1338	201
869	1339	200
870	1341	198
871	1344	197
872	1346	195
873	1348	194
874	1350	192
875	1351	191
876	1352	189
877	1353	188
878	1354	186
879	1355	184
880	1356	183
881	1358	181
882	1360	180
883	1362	178
884	1363	177
885	1364	175
886	1365	173
887	1366	172
888	1367	170
889	1368	169
890	1369	167
891	1370	165
892	1373	164
893	1374	162
894	1376	161
895	1378	160
896	1379	158
897	1380	156
898	1381	155
899	1382	153
900	1383	152
901	1384	150
902	1385	148
903	1386	147
904	1388	145
905	1389	144
906	1391	142
907	1392	141
908	1393	139
909	1395	137
910	1396	136
911	1397	134
912	1398	133
913	1399	131
914	1400	130
915	1402	128
916	1403	127
917	1404	125
918	1406	123
919	1407	122
920	1409	120
921	1410	119
922	1411	117
923	1412	116
924	1413	114
925	1414	113
926	1415	111
927	1416	109
928	1418	108
929	1420	106
930	1421	105
931	1422	103
932	1422	102
933	1423	100
934	1424	99
935	1425	97
936	1426	95
937	1427	94
938	1427	92
939	1428	91
940	1429	89
941	1430	88
942	1431	86
943	1432	84
944	1433	83
945	1435	81
946	1435	80
947	1436	78
948	1437	77
949	1439	75
950	1440	74
951	1440	72
952	1441	71
953	1442	69
954	1443	68
955	1444	66
956	1445	64
957	1446	63
958	1448	61
959	1449	60
960	1450	58
961	1452	57
962	1453	55
963	1454	54
964	1455	52
965	1455	51
966	1456	49
967	1458	48
968	1459	46
969	1460	45
970	1461	43
971	1463	42
972	1465	40
973	1466	39
974	1468	37
975	1468	36
976	1469	34
977	1470	33
978	1472	31
979	1472	30
980	1473	28
981	1474	27
982	1475	25
983	1476	24
984	1478	22
985	1480	21
986	1481	19
987	1482	18
988	1483	16
989	1485	15
990	1485	13
991	1486	11
992	1487	10
993	1488	8
994	1489	7
995	1491	5
996	1492	4
997	1494	2
998	1495	1
999	1497	0
